PegaRULES Application Trace,,,,,,,,,,
,,,,,,,,,,
System Name: tcpfusionqa,,,,,,,,,,
System Node: vtcpfusionqa.rpega.com,,,,,,,,,,
System Port: 9030,,,,,,,,,,
User: trn01@pegasystems.com,,,,,,,,,,
Requestor ID: HWAELRAS45291IL9PRUE81EM8BMSG0424,,,,,,,,,,
,,,,,,,,,,
Sequence,Interaction,Activity,Caller,Step,Method Name or When Result,Inlined?,Total CPU Time,CPU Time Without Children,Total Wall Time,Wall Time Without Children
1,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,1,Java,,0,0,0,0
2,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,2,java,,0,0,0,0
4,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,FALSE,TRUE,0,0,0,0
6,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,TRUE,TRUE,0,0,0,0
8,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,TRUE,TRUE,0,0,0,0
10,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,TRUE,TRUE,0,0,0,0
12,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,FALSE,TRUE,0,0,0,0
14,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,FALSE,TRUE,0,0,0,0
15,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,9,Property-Set,,0,0,0,0
17,3,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,,W,TRUE,TRUE,0,0,0,0
19,3,RULE-OBJ-WHEN @BASECLASS RECORDEVENT #20130919T004757.739 GMT,,W,FALSE,FALSE,0,0,0,0
20,3,RULE-HTML-FRAGMENT PZRESTOREGADGET #20130919T004722.404 GMT,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,S,Contributed-Length: 0,TRUE,0,0,0,0
23,3,RULE-DECLARE-PAGES DECLARE_PYDISPLAY #20130919T011245.707 GMT,,DP,,,0,0,0,0
24,3,RULE-OBJ-WHEN @BASECLASS PYISMOBILE #20170502T114224.083 GMT,,W,FALSE,FALSE,0,0,0,0
22,3,RULE-OBJ-WHEN @BASECLASS PYENABLEUIINSPECTOR #20151106T223122.999 GMT,,W,TRUE,FALSE,0,0,0,0
25,3,RULE-OBJ-WHEN @BASECLASS PZENABLEFVINSPECTOR #20160503T192635.917 GMT,,W,FALSE,FALSE,0,0,0,0
21,3,RULE-HTML-SECTION DATA-PORTAL PZPERFORMANCELINKSPROFILER #20130919T012151.386 GMT,,S,Contributed-Length: 1081,FALSE,0,0,0.002,0.002
27,3,RULE-DECLARE-PAGES D_PXUSERDASHBOARD #20141223T140645.014 GMT,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,DP,,,0,0,0,0
28,3,RULE-DECLARE-PAGES D_PXUSERDASHBOARD #20141223T140645.014 GMT,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,DP,,,0,0,0,0
29,3,RULE-DECLARE-PAGES D_PXUSERDASHBOARD #20141223T140645.014 GMT,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,DP,,,0,0,0,0
30,3,RULE-DECLARE-PAGES D_PXUSERDASHBOARD #20141223T140645.014 GMT,RULE-OBJ-ACTIVITY @BASECLASS RELOADSECTION #20170710T071709.574 GMT,DP,,,0,0,0,0
